Normal Inferred Class,Normal Encode Time,Normal Distance Time,Omen Dim Use,Omen Inferred Class,Omen Encode Time,Omen Distance Time,Omen Test Time,Absolute Dim Used,Absolute Inferred Class,Absolute Time,Diff Dim Used,Diff Inferred Class,Diff Time,Mean Dim Used,Mean Inferred Class,Mean Time,Actual Class
4,243.4,0.1,8,4,12.4,0.0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,4
4,243.3,0.1,121,4,187.8,0.2,1.4,0,0,0.0,0,0,0.0,0,0,0.0,4
4,243.4,0.1,36,4,55.6,0.1,0.5,0,0,0.0,0,0,0.0,0,0,0.0,4
4,243.4,0.1,29,4,44.8,0.0,0.5,0,0,0.0,0,0,0.0,0,0,0.0,4
4,243.4,0.1,36,4,55.8,0.0,0.4,0,0,0.0,0,0,0.0,0,0,0.0,4
4,243.4,0.1,18,4,28.1,0.0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,4
4,243.4,0.1,8,4,12.4,0.0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,4
3,243.4,0.1,22,3,33.9,0.0,0.5,0,0,0.0,0,0,0.0,0,0,0.0,4
3,243.4,0.1,157,3,243.4,0.2,2.2,0,0,0.0,0,0,0.0,0,0,0.0,4
3,243.4,0.1,157,3,243.8,0.0,2.0,0,0,0.0,0,0,0.0,0,0,0.0,4
4,243.4,0.1,8,3,12.4,0.0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,4
3,243.3,0.1,8,3,12.3,0.1,0.0,0,0,0.0,0,0,0.0,0,0,0.0,4
4,243.4,0.1,157,4,243.3,0.2,2.2,0,0,0.0,0,0,0.0,0,0,0.0,4
4,243.4,0.1,24,4,37.1,0.0,0.4,0,0,0.0,0,0,0.0,0,0,0.0,4
3,243.4,0.1,157,3,243.1,0.2,2.4,0,0,0.0,0,0,0.0,0,0,0.0,4
4,243.3,0.1,60,4,93.0,0.2,0.7,0,0,0.0,0,0,0.0,0,0,0.0,4
4,243.4,0.1,105,4,162.6,0.0,1.7,0,0,0.0,0,0,0.0,0,0,0.0,4
4,243.4,0.1,157,4,243.5,0.1,2.2,0,0,0.0,0,0,0.0,0,0,0.0,4
4,243.3,0.1,22,4,34.4,0.0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,4
4,243.4,0.1,157,4,243.5,0.1,2.1,0,0,0.0,0,0,0.0,0,0,0.0,4
4,243.3,0.1,157,4,243.7,0.2,1.9,0,0,0.0,0,0,0.0,0,0,0.0,4
4,243.4,0.1,53,4,82.3,0.0,0.5,0,0,0.0,0,0,0.0,0,0,0.0,4
4,243.4,0.1,26,3,40.6,0.0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,4
4,243.4,0.1,157,4,243.7,0.1,2.0,0,0,0.0,0,0,0.0,0,0,0.0,4
4,243.4,0.1,66,4,102.2,0.1,0.9,0,0,0.0,0,0,0.0,0,0,0.0,4
4,243.4,0.1,8,4,12.4,0.0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,4
4,243.4,0.1,85,4,131.8,0.1,1.0,0,0,0.0,0,0,0.0,0,0,0.0,4
4,243.4,0.1,15,4,23.3,0.0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,4
4,243.4,0.1,11,4,17.1,0.0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,4
4,243.4,0.1,18,4,28.1,0.0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,4
4,243.3,0.1,157,4,243.7,0.1,1.9,0,0,0.0,0,0,0.0,0,0,0.0,4
4,243.4,0.1,135,4,209.4,0.1,1.7,0,0,0.0,0,0,0.0,0,0,0.0,3
3,243.4,0.1,157,3,243.2,0.3,2.2,0,0,0.0,0,0,0.0,0,0,0.0,3
3,243.4,0.1,157,3,243.4,0.1,2.2,0,0,0.0,0,0,0.0,0,0,0.0,3
3,243.4,0.1,54,3,83.6,0.0,0.8,0,0,0.0,0,0,0.0,0,0,0.0,3
3,243.4,0.1,86,3,133.6,0.1,0.8,0,0,0.0,0,0,0.0,0,0,0.0,3
3,243.4,0.1,30,3,46.5,0.0,0.3,0,0,0.0,0,0,0.0,0,0,0.0,3
3,243.3,0.1,46,3,71.5,0.0,0.5,0,0,0.0,0,0,0.0,0,0,0.0,3
4,243.4,0.1,109,4,168.7,0.0,1.8,0,0,0.0,0,0,0.0,0,0,0.0,3
3,243.4,0.1,157,3,243.6,0.2,2.0,0,0,0.0,0,0,0.0,0,0,0.0,3
3,243.4,0.1,157,3,243.4,0.2,2.2,0,0,0.0,0,0,0.0,0,0,0.0,3
3,243.3,0.1,92,3,142.7,0.1,1.2,0,0,0.0,0,0,0.0,0,0,0.0,3
4,243.4,0.1,42,4,65.1,0.0,0.5,0,0,0.0,0,0,0.0,0,0,0.0,3
4,243.4,0.1,68,4,105.9,0.1,0.4,0,0,0.0,0,0,0.0,0,0,0.0,3
3,243.4,0.1,11,4,17.1,0.0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,3
4,243.4,0.1,8,4,12.4,0.0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,3
4,243.4,0.1,157,4,243.3,0.2,2.2,0,0,0.0,0,0,0.0,0,0,0.0,3
3,243.3,0.1,52,3,80.7,0.1,0.5,0,0,0.0,0,0,0.0,0,0,0.0,3
3,243.4,0.1,157,3,243.4,0.0,2.3,0,0,0.0,0,0,0.0,0,0,0.0,3
4,243.4,0.1,155,4,240.3,0.0,2.3,0,0,0.0,0,0,0.0,0,0,0.0,3
3,243.4,0.1,69,3,107.1,0.1,0.7,0,0,0.0,0,0,0.0,0,0,0.0,3
3,243.4,0.1,31,3,48.2,0.0,0.2,0,0,0.0,0,0,0.0,0,0,0.0,3
4,243.4,0.1,157,4,243.7,0.1,1.9,0,0,0.0,0,0,0.0,0,0,0.0,3
3,243.4,0.1,28,3,43.5,0.0,0.2,0,0,0.0,0,0,0.0,0,0,0.0,3
3,243.4,0.1,16,3,25.0,0.0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,3
5,243.3,0.1,8,5,12.4,0.0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,5
5,243.4,0.1,30,5,46.9,0.0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,5
5,243.4,0.1,42,5,65.4,0.0,0.3,0,0,0.0,0,0,0.0,0,0,0.0,5
5,243.4,0.1,25,5,38.4,0.0,0.6,0,0,0.0,0,0,0.0,0,0,0.0,5
